,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
1016,2020-12-11,692.3,697.03,689.45,695.2,629.27,488140,488140,2.9,0.41889,693.495,"December 11, 20",0.0041889
1017,2020-12-10,699.59,702.74,694.25,698.41,632.18,438642,438642,-1.18,-0.16867,698.7475,"December 10, 20",-0.0016867
1018,2020-12-09,715.84,716.15,696.84,701.68,635.14,489465,489465,-14.16,-1.98,707.6275,"December 09, 20",-0.0198
1019,2020-12-08,706.79,718.55,703.48,713.92,646.22,598200,598200,7.13,1.01,710.685,"December 08, 20",0.0101
1020,2020-12-07,702.7,709.58,699.03,709.49,642.21,680600,680600,6.79,0.96627,705.2,"December 07, 20",0.0096627
1021,2020-12-04,713.42,720.29,696.55,703.47,636.76,816358,816358,-9.95,-1.39,708.4325,"December 04, 20",-0.0139
1022,2020-12-03,718.36,721.82,711.76,715.42,647.58,604411,604411,-2.94,-0.40927,716.84,"December 03, 20",-0.0040927
1023,2020-12-02,715.0,718.81,708.98,718.36,646.95,484103,484103,3.36,0.46993,715.2875,"December 02, 20",0.0046993
1024,2020-12-01,709.67,720.51,705.2,715.23,644.13,549542,549542,5.56,0.78346,712.6525,"December 01, 20",0.0078346
1025,2020-11-30,710.31,713.19,697.73,698.35,628.93,888410,888410,-11.96,-1.68,704.895,"November 30, 20",-0.0168
1026,2020-11-27,706.75,718.85,705.14,715.11,644.03,313425,313425,8.36,1.18,711.4625,"November 27, 20",0.0118
1027,2020-11-25,698.12,704.26,696.42,703.61,633.67,401239,401239,5.49,0.7864,700.6025,"November 25, 20",0.007864
1028,2020-11-24,694.67,700.66,686.5,699.3,629.79,652000,652000,4.63,0.6665,695.2825,"November 24, 20",0.006665
1029,2020-11-23,676.88,689.0,673.84,682.87,614.99,505400,505400,5.99,0.88494,680.6475,"November 23, 20",0.0088494
1030,2020-11-20,674.02,675.75,669.0,672.71,605.84,396240,396240,-1.31,-0.19436,672.87,"November 20, 20",-0.0019436
1031,2020-11-19,665.97,675.34,663.24,673.48,606.53,471200,471200,7.51,1.13,669.5075,"November 19, 20",0.0113
1032,2020-11-18,670.8,676.65,668.95,669.89,603.3,509045,509045,-0.91,-0.13566,671.5725,"November 18, 20",-0.0013566
1033,2020-11-17,676.46,676.46,664.51,667.49,601.14,768905,768905,-8.97,-1.33,671.23,"November 17, 20",-0.0133
1034,2020-11-16,682.5,682.5,669.27,676.43,609.19,607760,607760,-6.07,-0.88938,677.675,"November 16, 20",-0.0088938
1035,2020-11-13,660.0,671.1,658.29,669.77,603.19,664100,664100,9.77,1.48,664.79,"November 13, 20",0.0148
1036,2020-11-12,665.76,668.67,654.87,659.79,594.2,501907,501907,-5.97,-0.89672,662.2725,"November 12, 20",-0.0089672
1037,2020-11-11,670.79,675.75,667.03,670.62,603.96,455800,455800,-0.17,-0.02534325,671.0475,"November 11, 20",-0.0002534325
1038,2020-11-10,661.07,666.54,645.12,660.6,594.93,758008,758008,-0.47,-0.07109686,658.3325,"November 10, 20",-0.0007109686
1039,2020-11-09,685.12,692.73,663.18,666.02,599.81,870313,870313,-19.1,-2.79,676.7625,"November 09, 20",-0.0279
1040,2020-11-06,666.06,668.0,654.19,654.9,589.8,493945,493945,-11.16,-1.68,660.7875,"November 06, 20",-0.0168
1041,2020-11-05,661.02,672.0,659.78,668.19,601.77,714509,714509,7.17,1.08,665.2475,"November 05, 20",0.0108
1042,2020-11-04,628.29,657.98,627.81,651.6,586.83,811990,811990,23.31,3.71,641.42,"November 04, 20",0.0371
1043,2020-11-03,620.9,633.34,619.0,629.26,566.71,560555,560555,8.36,1.35,625.625,"November 03, 20",0.0135
1044,2020-11-02,608.96,618.35,606.45,614.87,553.75,462400,462400,5.91,0.97051,612.1575,"November 02, 20",0.0097051
1045,2020-10-30,597.58,600.87,587.9,599.21,539.65,530463,530463,1.63,0.27277,596.39,"October 30, 20",0.0027277
1046,2020-10-29,600.21,606.59,590.26,602.33,542.46,447449,447449,2.12,0.35321,599.8475,"October 29, 20",0.0035321
1047,2020-10-28,602.69,606.45,596.26,600.71,541.0,645648,645648,-1.98,-0.32853,601.5275,"October 28, 20",-0.0032853
1048,2020-10-27,620.32,624.58,613.47,614.53,553.44,349823,349823,-5.79,-0.93339,618.225,"October 27, 20",-0.0093339
